fid,count,field_name,area_ha,density
1,64,AllrCoug2018A,225.565403765674,0.283731454077442
2,67,AllrCoug2019A,226.204788628229,0.296191784472412
3,102,AllrCoug2020A,219.518253605186,0.464653842333549
4,58,AllrCoug2021A,221.968613403744,0.261298203879404
5,265,CRO2018A,772.409747495362,0.34308215407599
6,270,CRO2019A,772.425586565731,0.349548234413677
7,212,CRO2020A,703.128963938044,0.301509411321421
8,185,CRO2021A,657.852263533074,0.281218155283734
9,48,fiveEa2018A,90.8931504954499,0.52809259815901
10,30,fiveEa2019A,89.3354261005841,0.335813028598784
11,30,fiveEa2020A,88.7533020034603,0.338015592916536
12,17,fiveEa2021A,67.8567089639011,0.250527917719142
13,95,Hansen2018A,163.498033230737,0.58104674486164
14,80,Hansen2019A,163.182271545346,0.490249334332678
15,75,Hansen2020A,160.124814386018,0.468384617884366
16,76,Hansen2021A,162.113900901393,0.468806188595926
17,118,HoskGibOth2018A,303.863231041148,0.388332604756714
18,138,HoskGibOth2019A,305.73382447909,0.451373021075194
19,72,HoskGibOth2020A,288.734666281608,0.24936389151754
20,73,HoskGibOth2021A,285.527355024757,0.255667272208194
21,204,Royal2018A,611.934582276063,0.333368967710946
22,150,Royal2019A,611.442869206522,0.245321366155855
23,149,Royal2020A,602.493536597711,0.247305557568974
24,145,Royal2021A,578.748240952399,0.250540718294686
25,86,ValKoe2018A,229.149500815706,0.375300839381561
26,47,ValKoe2019A,229.043534098799,0.205201164856836
27,55,ValKoe2020A,279.435624532321,0.196825297748099
28,57,ValKoe2021A,278.960847399503,0.204329749251047
